"Balancing Time Unit (UTC)","+ Imbalance Price [GBP/MWh] - MBA|GB","- Imbalance Price [GBP/MWh] - MBA|GB","Total Imbalance [MWh] - MBA|GB","Situation","Status"
"07.01.2018 08:30 - 07.01.2018 09:00","37.00","37.00","142","","Final"
"07.01.2018 09:00 - 07.01.2018 09:30","38.31","38.31","224","","Final"
"07.01.2018 09:30 - 07.01.2018 10:00","38.70","38.70","136","","Final"
"07.01.2018 10:00 - 07.01.2018 10:30","66.18","66.18","45","","Final"
"07.01.2018 10:30 - 07.01.2018 11:00","66.45","66.45","95","","Final"
"07.01.2018 11:00 - 07.01.2018 11:30","66.45","66.45","124","","Final"
"07.01.2018 11:30 - 07.01.2018 12:00","39.52","39.52","182","","Final"
"07.01.2018 12:00 - 07.01.2018 12:30","38.77","38.77","499","","Final"
"07.01.2018 12:30 - 07.01.2018 13:00","38.35","38.35","851","","Final"
"07.01.2018 13:00 - 07.01.2018 13:30","38.87","38.87","590","","Final"
"07.01.2018 13:30 - 07.01.2018 14:00","39.01","39.01","379","","Final"
"07.01.2018 14:00 - 07.01.2018 14:30","39.20","39.20","310","","Final"
"07.01.2018 14:30 - 07.01.2018 15:00","39.61","39.61","180","","Final"
"07.01.2018 15:00 - 07.01.2018 15:30","40.56","40.56","73","","Final"
"07.01.2018 15:30 - 07.01.2018 16:00","40.40","40.40","259","","Final"
"07.01.2018 16:00 - 07.01.2018 16:30","42.24","42.24","162","","Final"
"07.01.2018 16:30 - 07.01.2018 17:00","104.63","104.63","469","","Final"
"07.01.2018 17:00 - 07.01.2018 17:30","104.63","104.63","579","","Final"
"07.01.2018 17:30 - 07.01.2018 18:00","104.63","104.63","600","","Final"
"07.01.2018 18:00 - 07.01.2018 18:30","103.36","103.36","250","","Final"
"07.01.2018 18:30 - 07.01.2018 19:00","47.50","47.50","33","","Final"
"07.01.2018 19:00 - 07.01.2018 19:30","70.00","70.00","108","","Final"
"07.01.2018 19:30 - 07.01.2018 20:00","70.00","70.00","202","","Final"
"07.01.2018 20:00 - 07.01.2018 20:30","89.00","89.00","448","","Final"
"07.01.2018 20:30 - 07.01.2018 21:00","65.00","65.00","181","","Final"
"07.01.2018 21:00 - 07.01.2018 21:30","65.00","65.00","246","","Final"
"07.01.2018 21:30 - 07.01.2018 22:00","62.00","62.00","41","","Final"
"07.01.2018 22:00 - 07.01.2018 22:30","38.78","38.78","174","","Final"
"07.01.2018 22:30 - 07.01.2018 23:00","37.58","37.58","597","","Final"
"07.01.2018 23:00 - 07.01.2018 23:30","38.60","38.60","357","","Final"
