"Balancing Time Unit (UTC)","+ Imbalance Price [GBP/MWh] - MBA|GB","- Imbalance Price [GBP/MWh] - MBA|GB","Total Imbalance [MWh] - MBA|GB","Situation","Status"
"25.09.2018 07:30 - 25.09.2018 08:00","65.00","65.00","-12","","Final"
"25.09.2018 08:00 - 25.09.2018 08:30","56.55","56.55","-274","","Final"
"25.09.2018 08:30 - 25.09.2018 09:00","56.55","56.55","-747","","Final"
"25.09.2018 09:00 - 25.09.2018 09:30","57.30","57.30","-776","","Final"
"25.09.2018 09:30 - 25.09.2018 10:00","40.00","40.00","-754","","Final"
"25.09.2018 10:00 - 25.09.2018 10:30","54.10","54.10","-369","","Final"
"25.09.2018 10:30 - 25.09.2018 11:00","57.51","57.51","-330","","Final"
"25.09.2018 11:00 - 25.09.2018 11:30","57.51","57.51","-552","","Final"
"25.09.2018 11:30 - 25.09.2018 12:00","58.77","58.77","-719","","Final"
"25.09.2018 12:00 - 25.09.2018 12:30","56.40","56.40","-1238","","Final"
"25.09.2018 12:30 - 25.09.2018 13:00","56.40","56.40","-1229","","Final"
"25.09.2018 13:00 - 25.09.2018 13:30","57.51","57.51","-1044","","Final"
"25.09.2018 13:30 - 25.09.2018 14:00","30.00","30.00","-1059","","Final"
"25.09.2018 14:00 - 25.09.2018 14:30","29.00","29.00","-1141","","Final"
"25.09.2018 14:30 - 25.09.2018 15:00","29.00","29.00","-980","","Final"
"25.09.2018 15:00 - 25.09.2018 15:30","39.57","39.57","-428","","Final"
"25.09.2018 15:30 - 25.09.2018 16:00","58.10","58.10","-277","","Final"
"25.09.2018 16:00 - 25.09.2018 16:30","58.10","58.10","-282","","Final"
"25.09.2018 16:30 - 25.09.2018 17:00","58.20","58.20","-123","","Final"
"25.09.2018 17:00 - 25.09.2018 17:30","58.20","58.20","-83","","Final"
"25.09.2018 17:30 - 25.09.2018 18:00","58.12","58.12","-44","","Final"
"25.09.2018 18:00 - 25.09.2018 18:30","99.00","99.00","385","","Final"
"25.09.2018 18:30 - 25.09.2018 19:00","100.78","100.78","462","","Final"
"25.09.2018 19:00 - 25.09.2018 19:30","86.48","86.48","183","","Final"
"25.09.2018 19:30 - 25.09.2018 20:00","79.90","79.90","0","","Final"
"25.09.2018 20:00 - 25.09.2018 20:30","87.00","87.00","179","","Final"
"25.09.2018 20:30 - 25.09.2018 21:00","47.00","47.00","-102","","Final"
"25.09.2018 21:00 - 25.09.2018 21:30","49.22","49.22","-99","","Final"
"25.09.2018 21:30 - 25.09.2018 22:00","-63.68","-63.68","-435","","Final"
"25.09.2018 22:00 - 25.09.2018 22:30","41.10","41.10","-252","","Final"
"25.09.2018 22:30 - 25.09.2018 23:00","41.10","41.10","-134","","Final"
"25.09.2018 23:00 - 25.09.2018 23:30","38.57","38.57","-68","","Final"
"25.09.2018 23:30 - 26.09.2018 00:00","33.60","33.60","-241","","Final"
"26.09.2018 00:00 - 26.09.2018 00:30","2.21","2.21","-136","","Final"
"26.09.2018 00:30 - 26.09.2018 01:00","0.59","0.59","-71","","Final"
"26.09.2018 01:00 - 26.09.2018 01:30","5.21","5.21","-297","","Final"
"26.09.2018 01:30 - 26.09.2018 02:00","4.58","4.58","-437","","Final"
"26.09.2018 02:00 - 26.09.2018 02:30","15.43","15.43","-293","","Final"
"26.09.2018 02:30 - 26.09.2018 03:00","15.16","15.16","-381","","Final"
"26.09.2018 03:00 - 26.09.2018 03:30","13.73","13.73","-370","","Final"
"26.09.2018 03:30 - 26.09.2018 04:00","13.34","13.34","-313","","Final"
"26.09.2018 04:00 - 26.09.2018 04:30","37.70","37.70","-137","","Final"
"26.09.2018 04:30 - 26.09.2018 05:00","84.99","84.99","142","","Final"
"26.09.2018 05:00 - 26.09.2018 05:30","87.00","87.00","560","","Final"
"26.09.2018 05:30 - 26.09.2018 06:00","88.50","88.50","699","","Final"
"26.09.2018 06:00 - 26.09.2018 06:30","88.00","88.00","237","","Final"
"26.09.2018 06:30 - 26.09.2018 07:00","88.32","88.32","497","","Final"
"26.09.2018 07:00 - 26.09.2018 07:30","88.75","88.75","718","","Final"
"26.09.2018 07:30 - 26.09.2018 08:00","88.00","88.00","266","","Final"
"26.09.2018 08:00 - 26.09.2018 08:30","86.00","86.00","173","","Final"
"26.09.2018 08:30 - 26.09.2018 09:00","55.00","55.00","-194","","Final"
"26.09.2018 09:00 - 26.09.2018 09:30","68.22","68.22","-107","","Final"
"26.09.2018 09:30 - 26.09.2018 10:00","56.00","56.00","-179","","Final"
"26.09.2018 10:00 - 26.09.2018 10:30","85.00","85.00","321","","Final"
"26.09.2018 10:30 - 26.09.2018 11:00","83.00","83.00","170","","Final"
"26.09.2018 11:00 - 26.09.2018 11:30","56.34","56.34","-82","","Final"
"26.09.2018 11:30 - 26.09.2018 12:00","56.00","56.00","-381","","Final"
"26.09.2018 12:00 - 26.09.2018 12:30","56.00","56.00","-435","","Final"
"26.09.2018 12:30 - 26.09.2018 13:00","56.00","56.00","-262","","Final"
"26.09.2018 13:00 - 26.09.2018 13:30","80.00","80.00","38","","Final"
"26.09.2018 13:30 - 26.09.2018 14:00","80.09","80.09","12","","Final"
"26.09.2018 14:00 - 26.09.2018 14:30","30.00","30.00","-622","","Final"
"26.09.2018 14:30 - 26.09.2018 15:00","46.16","46.16","-447","","Final"
"26.09.2018 15:00 - 26.09.2018 15:30","83.00","83.00","114","","Final"
"26.09.2018 15:30 - 26.09.2018 16:00","79.90","79.90","54","","Final"
"26.09.2018 16:00 - 26.09.2018 16:30","40.00","40.00","-397","","Final"
"26.09.2018 16:30 - 26.09.2018 17:00","86.90","86.90","8","","Final"
"26.09.2018 17:00 - 26.09.2018 17:30","98.82","98.82","632","","Final"
"26.09.2018 17:30 - 26.09.2018 18:00","99.00","99.00","796","","Final"
"26.09.2018 18:00 - 26.09.2018 18:30","133.71","133.71","1190","","Final"
"26.09.2018 18:30 - 26.09.2018 19:00","102.53","102.53","857","","Final"
"26.09.2018 19:00 - 26.09.2018 19:30","101.25","101.25","729","","Final"
"26.09.2018 19:30 - 26.09.2018 20:00","98.16","98.16","336","","Final"
"26.09.2018 20:00 - 26.09.2018 20:30","90.00","90.00","194","","Final"
"26.09.2018 20:30 - 26.09.2018 21:00","83.50","83.50","214","","Final"
"26.09.2018 21:00 - 26.09.2018 21:30","83.00","83.00","114","","Final"
"26.09.2018 21:30 - 26.09.2018 22:00","57.46","57.46","-64","","Final"
"26.09.2018 22:00 - 26.09.2018 22:30","87.50","87.50","643","","Final"
"26.09.2018 22:30 - 26.09.2018 23:00","88.00","88.00","688","","Final"
"26.09.2018 23:00 - 26.09.2018 23:30","83.50","83.50","419","","Final"
"26.09.2018 23:30 - 27.09.2018 00:00","83.50","83.50","214","","Final"
"27.09.2018 00:00 - 27.09.2018 00:30","83.50","83.50","309","","Final"
"27.09.2018 00:30 - 27.09.2018 01:00","83.50","83.50","362","","Final"
"27.09.2018 01:00 - 27.09.2018 01:30","83.50","83.50","459","","Final"
"27.09.2018 01:30 - 27.09.2018 02:00","83.50","83.50","303","","Final"
"27.09.2018 02:00 - 27.09.2018 02:30","83.50","83.50","396","","Final"
"27.09.2018 02:30 - 27.09.2018 03:00","83.50","83.50","312","","Final"
"27.09.2018 03:00 - 27.09.2018 03:30","80.00","80.00","46","","Final"
"27.09.2018 03:30 - 27.09.2018 04:00","62.78","62.78","-90","","Final"
"27.09.2018 04:00 - 27.09.2018 04:30","67.06","67.06","-279","","Final"
"27.09.2018 04:30 - 27.09.2018 05:00","52.50","52.50","-143","","Final"
"27.09.2018 05:00 - 27.09.2018 05:30","82.62","82.62","162","","Final"
"27.09.2018 05:30 - 27.09.2018 06:00","87.97","87.97","426","","Final"
"27.09.2018 06:00 - 27.09.2018 06:30","88.69","88.69","501","","Final"
"27.09.2018 06:30 - 27.09.2018 07:00","88.00","88.00","509","","Final"
"27.09.2018 07:00 - 27.09.2018 07:30","88.00","88.00","485","","Final"
"27.09.2018 07:30 - 27.09.2018 08:00","42.67","42.67","19","","Final"
"27.09.2018 08:00 - 27.09.2018 08:30","75.88","75.88","-89","","Final"
"27.09.2018 08:30 - 27.09.2018 09:00","70.34","70.34","-131","","Final"
"27.09.2018 09:00 - 27.09.2018 09:30","67.67","67.67","-105","","Final"
"27.09.2018 09:30 - 27.09.2018 10:00","54.40","54.40","-321","","Final"
"27.09.2018 10:00 - 27.09.2018 10:30","54.40","54.40","-626","","Final"
"27.09.2018 10:30 - 27.09.2018 11:00","39.00","39.00","-706","","Final"
"27.09.2018 11:00 - 27.09.2018 11:30","39.00","39.00","-594","","Final"
"27.09.2018 11:30 - 27.09.2018 12:00","35.00","35.00","-619","","Final"
"27.09.2018 12:00 - 27.09.2018 12:30","30.00","30.00","-441","","Final"
"27.09.2018 12:30 - 27.09.2018 13:00","54.40","54.40","-250","","Final"
"27.09.2018 13:00 - 27.09.2018 13:30","39.00","39.00","-344","","Final"
"27.09.2018 13:30 - 27.09.2018 14:00","54.40","54.40","-298","","Final"
"27.09.2018 14:00 - 27.09.2018 14:30","54.40","54.40","-637","","Final"
"27.09.2018 14:30 - 27.09.2018 15:00","49.50","49.50","-173","","Final"
"27.09.2018 15:00 - 27.09.2018 15:30","55.27","55.27","-24","","Final"
"27.09.2018 15:30 - 27.09.2018 16:00","56.10","56.10","-233","","Final"
"27.09.2018 16:00 - 27.09.2018 16:30","56.10","56.10","-541","","Final"
"27.09.2018 16:30 - 27.09.2018 17:00","56.70","56.70","-287","","Final"
"27.09.2018 17:00 - 27.09.2018 17:30","72.11","72.11","-174","","Final"
"27.09.2018 17:30 - 27.09.2018 18:00","75.07","75.07","-76","","Final"
"27.09.2018 18:00 - 27.09.2018 18:30","30.90","30.90","5","","Final"
"27.09.2018 18:30 - 27.09.2018 19:00","88.73","88.73","-186","","Final"
"27.09.2018 19:00 - 27.09.2018 19:30","79.82","79.82","-151","","Final"
"27.09.2018 19:30 - 27.09.2018 20:00","47.25","47.25","-610","","Final"
"27.09.2018 20:00 - 27.09.2018 20:30","47.25","47.25","-360","","Final"
"27.09.2018 20:30 - 27.09.2018 21:00","37.00","37.00","-124","","Final"
"27.09.2018 21:00 - 27.09.2018 21:30","56.10","56.10","-428","","Final"
"27.09.2018 21:30 - 27.09.2018 22:00","60.00","60.00","-162","","Final"
"27.09.2018 22:00 - 27.09.2018 22:30","67.34","67.34","41","","Final"
"27.09.2018 22:30 - 27.09.2018 23:00","55.16","55.16","-108","","Final"
"27.09.2018 23:00 - 27.09.2018 23:30","68.33","68.33","33","","Final"
"27.09.2018 23:30 - 28.09.2018 00:00","54.54","54.54","-87","","Final"
"28.09.2018 00:00 - 28.09.2018 00:30","54.99","54.99","-79","","Final"
"28.09.2018 00:30 - 28.09.2018 01:00","69.00","69.00","150","","Final"
"28.09.2018 01:00 - 28.09.2018 01:30","69.00","69.00","139","","Final"
"28.09.2018 01:30 - 28.09.2018 02:00","72.45","72.45","186","","Final"
"28.09.2018 02:00 - 28.09.2018 02:30","69.00","69.00","145","","Final"
"28.09.2018 02:30 - 28.09.2018 03:00","70.44","70.44","179","","Final"
"28.09.2018 03:00 - 28.09.2018 03:30","69.00","69.00","62","","Final"
"28.09.2018 03:30 - 28.09.2018 04:00","69.00","69.00","79","","Final"
"28.09.2018 04:00 - 28.09.2018 04:30","47.10","47.10","-110","","Final"
"28.09.2018 04:30 - 28.09.2018 05:00","42.70","42.70","-288","","Final"
"28.09.2018 05:00 - 28.09.2018 05:30","66.48","66.48","103","","Final"
"28.09.2018 05:30 - 28.09.2018 06:00","80.00","80.00","256","","Final"
"28.09.2018 06:00 - 28.09.2018 06:30","52.65","52.65","-147","","Final"
"28.09.2018 06:30 - 28.09.2018 07:00","95.77","95.77","217","","Final"
"28.09.2018 07:00 - 28.09.2018 07:30","98.00","98.00","320","","Final"
"28.09.2018 07:30 - 28.09.2018 08:00","80.68","80.68","190","","Final"
"28.09.2018 08:00 - 28.09.2018 08:30","70.82","70.82","151","","Final"
"28.09.2018 08:30 - 28.09.2018 09:00","55.40","55.40","-306","","Final"
"28.09.2018 09:00 - 28.09.2018 09:30","55.10","55.10","-389","","Final"
"28.09.2018 09:30 - 28.09.2018 10:00","55.10","55.10","-348","","Final"
"28.09.2018 10:00 - 28.09.2018 10:30","50.00","50.00","-202","","Final"
"28.09.2018 10:30 - 28.09.2018 11:00","55.05","55.05","-395","","Final"
"28.09.2018 11:00 - 28.09.2018 11:30","55.40","55.40","-536","","Final"
"28.09.2018 11:30 - 28.09.2018 12:00","55.40","55.40","-261","","Final"
"28.09.2018 12:00 - 28.09.2018 12:30","55.55","55.55","-137","","Final"
"28.09.2018 12:30 - 28.09.2018 13:00","55.50","55.50","-254","","Final"
"28.09.2018 13:00 - 28.09.2018 13:30","44.45","44.45","-483","","Final"
"28.09.2018 13:30 - 28.09.2018 14:00","46.21","46.21","-737","","Final"
"28.09.2018 14:00 - 28.09.2018 14:30","46.85","46.85","-868","","Final"
"28.09.2018 14:30 - 28.09.2018 15:00","46.85","46.85","-700","","Final"
"28.09.2018 15:00 - 28.09.2018 15:30","52.00","52.00","-608","","Final"
"28.09.2018 15:30 - 28.09.2018 16:00","47.55","47.55","-669","","Final"
"28.09.2018 16:00 - 28.09.2018 16:30","47.55","47.55","-680","","Final"
"28.09.2018 16:30 - 28.09.2018 17:00","53.14","53.14","-517","","Final"
"28.09.2018 17:00 - 28.09.2018 17:30","55.94","55.94","-310","","Final"
"28.09.2018 17:30 - 28.09.2018 18:00","56.31","56.31","-47","","Final"
"28.09.2018 18:00 - 28.09.2018 18:30","108.50","108.50","278","","Final"
"28.09.2018 18:30 - 28.09.2018 19:00","95.20","95.20","88","","Final"
"28.09.2018 19:00 - 28.09.2018 19:30","55.98","55.98","-228","","Final"
"28.09.2018 19:30 - 28.09.2018 20:00","51.50","51.50","-705","","Final"
"28.09.2018 20:00 - 28.09.2018 20:30","55.73","55.73","-482","","Final"
"28.09.2018 20:30 - 28.09.2018 21:00","55.80","55.80","-189","","Final"
"28.09.2018 21:00 - 28.09.2018 21:30","55.80","55.80","-155","","Final"
"28.09.2018 21:30 - 28.09.2018 22:00","80.25","80.25","203","","Final"
"28.09.2018 22:00 - 28.09.2018 22:30","82.14","82.14","505","","Final"
"28.09.2018 22:30 - 28.09.2018 23:00","83.00","83.00","517","","Final"
"28.09.2018 23:00 - 28.09.2018 23:30","80.25","80.25","127","","Final"
"28.09.2018 23:30 - 29.09.2018 00:00","80.25","80.25","93","","Final"
"29.09.2018 00:00 - 29.09.2018 00:30","75.04","75.04","21","","Final"
"29.09.2018 00:30 - 29.09.2018 01:00","73.80","73.80","16","","Final"
"29.09.2018 01:00 - 29.09.2018 01:30","42.35","42.35","-155","","Final"
"29.09.2018 01:30 - 29.09.2018 02:00","41.52","41.52","-279","","Final"
"29.09.2018 02:00 - 29.09.2018 02:30","38.37","38.37","-201","","Final"
"29.09.2018 02:30 - 29.09.2018 03:00","39.30","39.30","-266","","Final"
"29.09.2018 03:00 - 29.09.2018 03:30","42.35","42.35","-145","","Final"
"29.09.2018 03:30 - 29.09.2018 04:00","37.50","37.50","-371","","Final"
"29.09.2018 04:00 - 29.09.2018 04:30","41.82","41.82","-363","","Final"
"29.09.2018 04:30 - 29.09.2018 05:00","42.35","42.35","-271","","Final"
"29.09.2018 05:00 - 29.09.2018 05:30","42.35","42.35","-263","","Final"
"29.09.2018 05:30 - 29.09.2018 06:00","47.57","47.57","-206","","Final"
"29.09.2018 06:00 - 29.09.2018 06:30","47.55","47.55","-302","","Final"
"29.09.2018 06:30 - 29.09.2018 07:00","48.64","48.64","-69","","Final"
"29.09.2018 07:00 - 29.09.2018 07:30","80.25","80.25","240","","Final"
"29.09.2018 07:30 - 29.09.2018 08:00","80.25","80.25","289","","Final"
"29.09.2018 08:00 - 29.09.2018 08:30","80.25","80.25","265","","Final"
"29.09.2018 08:30 - 29.09.2018 09:00","80.19","80.19","42","","Final"
"29.09.2018 09:00 - 29.09.2018 09:30","49.27","49.27","-45","","Final"
"29.09.2018 09:30 - 29.09.2018 10:00","67.61","67.61","-499","","Final"
"29.09.2018 10:00 - 29.09.2018 10:30","48.00","48.00","-650","","Final"
"29.09.2018 10:30 - 29.09.2018 11:00","54.86","54.86","-827","","Final"
"29.09.2018 11:00 - 29.09.2018 11:30","54.63","54.63","-621","","Final"
"29.09.2018 11:30 - 29.09.2018 12:00","30.00","30.00","-589","","Final"
"29.09.2018 12:00 - 29.09.2018 12:30","54.36","54.36","-639","","Final"
"29.09.2018 12:30 - 29.09.2018 13:00","54.40","54.40","-785","","Final"
"29.09.2018 13:00 - 29.09.2018 13:30","54.40","54.40","-938","","Final"
"29.09.2018 13:30 - 29.09.2018 14:00","51.07","51.07","-858","","Final"
"29.09.2018 14:00 - 29.09.2018 14:30","40.00","40.00","-850","","Final"
"29.09.2018 14:30 - 29.09.2018 15:00","40.00","40.00","-677","","Final"
"29.09.2018 15:00 - 29.09.2018 15:30","46.21","46.21","-816","","Final"
"29.09.2018 15:30 - 29.09.2018 16:00","40.00","40.00","-785","","Final"
"29.09.2018 16:00 - 29.09.2018 16:30","40.00","40.00","-603","","Final"
"29.09.2018 16:30 - 29.09.2018 17:00","52.05","52.05","-234","","Final"
"29.09.2018 17:00 - 29.09.2018 17:30","55.20","55.20","-129","","Final"
"29.09.2018 17:30 - 29.09.2018 18:00","103.22","103.22","361","","Final"
"29.09.2018 18:00 - 29.09.2018 18:30","102.96","102.96","255","","Final"
"29.09.2018 18:30 - 29.09.2018 19:00","100.01","100.01","145","","Final"
"29.09.2018 19:00 - 29.09.2018 19:30","98.92","98.92","59","","Final"
"29.09.2018 19:30 - 29.09.2018 20:00","55.42","55.42","-276","","Final"
"29.09.2018 20:00 - 29.09.2018 20:30","55.40","55.40","-323","","Final"
"29.09.2018 20:30 - 29.09.2018 21:00","55.30","55.30","-383","","Final"
"29.09.2018 21:00 - 29.09.2018 21:30","55.30","55.30","-493","","Final"
"29.09.2018 21:30 - 29.09.2018 22:00","56.00","56.00","-731","","Final"
"29.09.2018 22:00 - 29.09.2018 22:30","48.30","48.30","-472","","Final"
"29.09.2018 22:30 - 29.09.2018 23:00","48.30","48.30","-466","","Final"
"29.09.2018 23:00 - 29.09.2018 23:30","40.99","40.99","-375","","Final"
"29.09.2018 23:30 - 30.09.2018 00:00","38.31","38.31","-573","","Final"
"30.09.2018 00:00 - 30.09.2018 00:30","47.55","47.55","-396","","Final"
"30.09.2018 00:30 - 30.09.2018 01:00","47.55","47.55","-308","","Final"
"30.09.2018 01:00 - 30.09.2018 01:30","40.92","40.92","-392","","Final"
"30.09.2018 01:30 - 30.09.2018 02:00","40.92","40.92","-344","","Final"
"30.09.2018 02:00 - 30.09.2018 02:30","45.02","45.02","-42","","Final"
"30.09.2018 02:30 - 30.09.2018 03:00","43.25","43.25","-143","","Final"
"30.09.2018 03:00 - 30.09.2018 03:30","78.90","78.90","11","","Final"
"30.09.2018 03:30 - 30.09.2018 04:00","80.00","80.00","343","","Final"
"30.09.2018 04:00 - 30.09.2018 04:30","79.64","79.64","286","","Final"
"30.09.2018 04:30 - 30.09.2018 05:00","80.07","80.07","381","","Final"
"30.09.2018 05:00 - 30.09.2018 05:30","80.20","80.20","374","","Final"
"30.09.2018 05:30 - 30.09.2018 06:00","80.20","80.20","384","","Final"
"30.09.2018 06:00 - 30.09.2018 06:30","78.95","78.95","30","","Final"
"30.09.2018 06:30 - 30.09.2018 07:00","80.20","80.20","332","","Final"
"30.09.2018 07:00 - 30.09.2018 07:30","80.20","80.20","166","","Final"
"30.09.2018 07:30 - 30.09.2018 08:00","80.21","80.21","74","","Final"
"30.09.2018 08:00 - 30.09.2018 08:30","80.25","80.25","78","","Final"
"30.09.2018 08:30 - 30.09.2018 09:00","79.00","79.00","20","","Final"
"30.09.2018 09:00 - 30.09.2018 09:30","79.60","79.60","66","","Final"
"30.09.2018 09:30 - 30.09.2018 10:00","73.91","73.91","-229","","Final"
"30.09.2018 10:00 - 30.09.2018 10:30","80.12","80.12","149","","Final"
"30.09.2018 10:30 - 30.09.2018 11:00","79.90","79.90","107","","Final"
"30.09.2018 11:00 - 30.09.2018 11:30","79.90","79.90","100","","Final"
"30.09.2018 11:30 - 30.09.2018 12:00","79.00","79.00","24","","Final"
"30.09.2018 12:00 - 30.09.2018 12:30","78.00","78.00","91","","Final"
"30.09.2018 12:30 - 30.09.2018 13:00","78.00","78.00","154","","Final"
"30.09.2018 13:00 - 30.09.2018 13:30","78.00","78.00","10","","Final"
"30.09.2018 13:30 - 30.09.2018 14:00","62.24","62.24","-30","","Final"
"30.09.2018 14:00 - 30.09.2018 14:30","47.55","47.55","-233","","Final"
"30.09.2018 14:30 - 30.09.2018 15:00","48.30","48.30","-276","","Final"
"30.09.2018 15:00 - 30.09.2018 15:30","66.08","66.08","-338","","Final"
"30.09.2018 15:30 - 30.09.2018 16:00","56.10","56.10","-464","","Final"
"30.09.2018 16:00 - 30.09.2018 16:30","67.13","67.13","-119","","Final"
"30.09.2018 16:30 - 30.09.2018 17:00","54.40","54.40","-299","","Final"
"30.09.2018 17:00 - 30.09.2018 17:30","55.30","55.30","-242","","Final"
"30.09.2018 17:30 - 30.09.2018 18:00","89.00","89.00","5","","Final"
"30.09.2018 18:00 - 30.09.2018 18:30","93.50","93.50","404","","Final"
"30.09.2018 18:30 - 30.09.2018 19:00","89.00","89.00","103","","Final"
"30.09.2018 19:00 - 30.09.2018 19:30","86.20","86.20","158","","Final"
"30.09.2018 19:30 - 30.09.2018 20:00","55.06","55.06","-541","","Final"
"30.09.2018 20:00 - 30.09.2018 20:30","56.00","56.00","-74","","Final"
"30.09.2018 20:30 - 30.09.2018 21:00","55.55","55.55","-231","","Final"
"30.09.2018 21:00 - 30.09.2018 21:30","54.68","54.68","-148","","Final"
"30.09.2018 21:30 - 30.09.2018 22:00","47.79","47.79","-372","","Final"
"30.09.2018 22:00 - 30.09.2018 22:30","43.18","43.18","-528","","Final"
"30.09.2018 22:30 - 30.09.2018 23:00","55.33","55.33","-173","","Final"
"30.09.2018 23:00 - 30.09.2018 23:30","43.18","43.18","-22","","Final"
"30.09.2018 23:30 - 01.10.2018 00:00","43.18","43.18","-25","","Final"
"01.10.2018 00:00 - 01.10.2018 00:30","76.00","76.00","156","","Final"
"01.10.2018 00:30 - 01.10.2018 01:00","81.91","81.91","495","","Final"
"01.10.2018 01:00 - 01.10.2018 01:30","83.50","83.50","640","","Final"
"01.10.2018 01:30 - 01.10.2018 02:00","83.50","83.50","788","","Final"
"01.10.2018 02:00 - 01.10.2018 02:30","83.21","83.21","518","","Final"
"01.10.2018 02:30 - 01.10.2018 03:00","82.00","82.00","375","","Final"
"01.10.2018 03:00 - 01.10.2018 03:30","82.00","82.00","364","","Final"
"01.10.2018 03:30 - 01.10.2018 04:00","82.00","82.00","372","","Final"
"01.10.2018 04:00 - 01.10.2018 04:30","76.00","76.00","156","","Final"
"01.10.2018 04:30 - 01.10.2018 05:00","76.00","76.00","37","","Final"
"01.10.2018 05:00 - 01.10.2018 05:30","87.00","87.00","440","","Final"
"01.10.2018 05:30 - 01.10.2018 06:00","87.00","87.00","313","","Final"
"01.10.2018 06:00 - 01.10.2018 06:30","56.00","56.00","-4","","Final"
"01.10.2018 06:30 - 01.10.2018 07:00","99.79","99.79","604","","Final"
"01.10.2018 07:00 - 01.10.2018 07:30","98.67","98.67","537","","Final"
"01.10.2018 07:30 - 01.10.2018 08:00","87.00","87.00","347","","Final"
"01.10.2018 08:00 - 01.10.2018 08:30","87.00","87.00","253","","Final"
"01.10.2018 08:30 - 01.10.2018 09:00","56.78","56.78","-12","","Final"
"01.10.2018 09:00 - 01.10.2018 09:30","52.52","52.52","-206","","Final"
"01.10.2018 09:30 - 01.10.2018 10:00","47.40","47.40","-320","","Final"
"01.10.2018 10:00 - 01.10.2018 10:30","46.21","46.21","-213","","Final"
"01.10.2018 10:30 - 01.10.2018 11:00","52.55","52.55","-306","","Final"
"01.10.2018 11:00 - 01.10.2018 11:30","52.16","52.16","-325","","Final"
"01.10.2018 11:30 - 01.10.2018 12:00","54.08","54.08","-44","","Final"
"01.10.2018 12:00 - 01.10.2018 12:30","74.83","74.83","64","","Final"
"01.10.2018 12:30 - 01.10.2018 13:00","72.65","72.65","42","","Final"
"01.10.2018 13:00 - 01.10.2018 13:30","76.01","76.01","375","","Final"
"01.10.2018 13:30 - 01.10.2018 14:00","80.41","80.41","453","","Final"
"01.10.2018 14:00 - 01.10.2018 14:30","52.75","52.75","-136","","Final"
"01.10.2018 14:30 - 01.10.2018 15:00","54.55","54.55","-5","","Final"
"01.10.2018 15:00 - 01.10.2018 15:30","100.69","100.69","105","","Final"
"01.10.2018 15:30 - 01.10.2018 16:00","100.69","100.69","51","","Final"
"01.10.2018 16:00 - 01.10.2018 16:30","53.97","53.97","-177","","Final"
"01.10.2018 16:30 - 01.10.2018 17:00","54.63","54.63","-155","","Final"
"01.10.2018 17:00 - 01.10.2018 17:30","31.64","31.64","-341","","Final"
"01.10.2018 17:30 - 01.10.2018 18:00","10.33","10.33","-252","","Final"
"01.10.2018 18:00 - 01.10.2018 18:30","24.33","24.33","-138","","Final"
"01.10.2018 18:30 - 01.10.2018 19:00","0.00","0.00","-736","","Final"
"01.10.2018 19:00 - 01.10.2018 19:30","0.00","0.00","-742","","Final"
"01.10.2018 19:30 - 01.10.2018 20:00","40.00","40.00","-821","","Final"
"01.10.2018 20:00 - 01.10.2018 20:30","48.65","48.65","-676","","Final"
"01.10.2018 20:30 - 01.10.2018 21:00","-18.99","-18.99","-615","","Final"
"01.10.2018 21:00 - 01.10.2018 21:30","-18.99","-18.99","-575","","Final"
"01.10.2018 21:30 - 01.10.2018 22:00","52.58","52.58","-785","","Final"
"01.10.2018 22:00 - 01.10.2018 22:30","79.16","79.16","348","","Final"
"01.10.2018 22:30 - 01.10.2018 23:00","29.64","29.64","-81","","Final"
"01.10.2018 23:00 - 01.10.2018 23:30","60.00","60.00","-2","","Final"
"01.10.2018 23:30 - 02.10.2018 00:00","57.00","57.00","-211","","Final"
"02.10.2018 00:00 - 02.10.2018 00:30","-64.34","-64.34","-159","","Final"
"02.10.2018 00:30 - 02.10.2018 01:00","37.58","37.58","-160","","Final"
"02.10.2018 01:00 - 02.10.2018 01:30","37.58","37.58","-55","","Final"
"02.10.2018 01:30 - 02.10.2018 02:00","35.81","35.81","-2","","Final"
"02.10.2018 02:00 - 02.10.2018 02:30","73.50","73.50","229","","Final"
"02.10.2018 02:30 - 02.10.2018 03:00","73.50","73.50","197","","Final"
"02.10.2018 03:00 - 02.10.2018 03:30","73.50","73.50","218","","Final"
"02.10.2018 03:30 - 02.10.2018 04:00","73.50","73.50","87","","Final"
"02.10.2018 04:00 - 02.10.2018 04:30","70.58","70.58","62","","Final"
"02.10.2018 04:30 - 02.10.2018 05:00","76.53","76.53","374","","Final"
"02.10.2018 05:00 - 02.10.2018 05:30","77.19","77.19","466","","Final"
"02.10.2018 05:30 - 02.10.2018 06:00","79.96","79.96","621","","Final"
"02.10.2018 06:00 - 02.10.2018 06:30","60.00","60.00","-13","","Final"
"02.10.2018 06:30 - 02.10.2018 07:00","70.58","70.58","144","","Final"
"02.10.2018 07:00 - 02.10.2018 07:30","70.58","70.58","38","","Final"
"02.10.2018 07:30 - 02.10.2018 08:00","60.00","60.00","-10","","Final"
"02.10.2018 08:00 - 02.10.2018 08:30","75.35","75.35","433","","Final"
"02.10.2018 08:30 - 02.10.2018 09:00","70.58","70.58","83","","Final"
"02.10.2018 09:00 - 02.10.2018 09:30","50.18","50.18","-41","","Final"
"02.10.2018 09:30 - 02.10.2018 10:00","76.58","76.58","252","","Final"
"02.10.2018 10:00 - 02.10.2018 10:30","77.19","77.19","323","","Final"
